"instruction_id","concept_id","order","text"
11,11,110,"Your task is to get the robot to the treasure chest. The robot can move forward and turn on the spot. If the robot hits a wall, it breaks down."
13,13,120,"Create your programs in this window. Robot will sequentially execute all commands which you connect to the ""program start"" block."
12,12,130,"Here is a toolbox for your blocks, from where you can drag them into the program repeatedly."
1,1,135,"This command tells the robot to move to the next tile in front of him."
14,14,140,"Every block has a little hook, so that you can connect them together. The robot will only perform blocks connected to the starting block."
15,15,150,"Run the program with this button. If the robot doesn't reach the goal, return it to its original position by clicking on the ""Reset"" button and try another program."
16,16,210,"Some of the tasks limit the number of blocks you can use in the program. Here you can see, how many blocks you used and how many you can use all together."
17,17,220,"There are different colors of the tiles. The robot can detect colors and use them to navigate through the maze."
18,18,230,"Mind the pits! Robot can't detect them and if he falls into one, he can't get out."
19,19,240,"There are keys located in the maze and the robot must pick all of them in order to open the treasure chest."
2,2,315,"This command tells the robot to turn left or right."
3,3,320,"This block tells the robot to execute a group of commands N-times."
4,4,330,"This block tells the robot to repeat a group of commands while some condition is satisfied."
5,5,340,"Use this condition to check if the robot stands on the tile with the treasure chest."
6,6,345,"Use this condition to check if there is a free path in front of, left of, or right of the robot."
7,7,350,"Use this condition to check if the robot stands on the specified color."
8,8,360,"This block tells the robot to execute a group of commands, only if some condition is satisfied."
9,9,365,"This block tells the robot to execute a group of commands, if some condition is satisfied, and another group of commands, if the condition is not satisfied."
10,10,380,"Use this blok to combine two simple conditions into one complex condition. If you compose them with ""AND"", both of them must be satisfied. If you compose them with ""OR"", at least one of them must be satisfied."
