"task_instance_id","student_id","task_id","time_start","time_end","time_spent","solved","given_up","attempts","solution_size","reported_flow","instructions_ids","session_id","session_order"
18,7,1,"2016-06-30 14:40:53.964435","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",8,8
1,2,56,"2016-06-29 15:34:56.325120","2016-06-29 15:35:28.488610",32,True,False,1,3,"EASY","[11, 13, 12, 1, 14, 15]",1,1
28,6,31,"2016-06-30 14:52:23.540158","2016-06-30 14:52:55.605318",32,True,False,1,7,"EASY","[]",10,10
17,6,41,"2016-06-30 14:23:44.252620","2016-06-30 14:41:13.116935",1049,False,True,23,12,"VERY_DIFFICULT","[19]",7,7
2,2,2,"2016-06-29 15:35:41.768981","2016-06-29 15:36:01.918443",20,True,False,1,7,"EASY","[2]",1,1
3,2,20,"2016-06-29 15:36:12.210266","",0,False,False,0,"","UNKNOWN","[16, 3]",1,1
4,3,1,"2016-06-30 07:55:32.575624","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",2,2
5,4,1,"2016-06-30 07:55:49.045173","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",3,3
6,2,23,"2016-06-30 09:26:06.141425","",0,False,False,0,"","UNKNOWN","[16, 3]",4,4
7,5,56,"2016-06-30 14:17:44.387449","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",5,5
8,6,1,"2016-06-30 14:17:44.752047","2016-06-30 14:18:01.044105",17,True,False,1,4,"EASY","[11, 13, 12, 1, 14, 15]",6,6
9,6,2,"2016-06-30 14:18:06.011384","2016-06-30 14:18:25.057813",19,True,False,1,7,"EASY","[2]",6,6
39,6,14,"2016-06-30 15:13:29.662560","2016-06-30 15:14:01.151985",32,True,False,1,7,"EASY","[]",11,11
26,8,25,"2016-06-30 14:50:13.516508","2016-06-30 14:53:10.733545",177,True,False,3,7,"RIGHT","[]",9,9
10,6,3,"2016-06-30 14:18:32.059484","2016-06-30 14:19:00.453401",29,True,False,1,6,"EASY","[]",6,6
30,8,53,"2016-06-30 14:53:21.727218","",0,False,False,0,"","UNKNOWN","[4, 5]",9,9
11,6,18,"2016-06-30 14:19:04.496970","2016-06-30 14:19:20.945694",17,True,False,1,4,"EASY","[16, 3]",6,6
20,8,56,"2016-06-30 14:41:25.175860","2016-06-30 14:42:24.745556",60,True,False,3,3,"RIGHT","[11, 13, 12, 1, 14, 15]",9,9
12,6,26,"2016-06-30 14:19:22.992032","2016-06-30 14:20:15.636566",53,True,False,1,11,"EASY","[]",6,6
29,6,16,"2016-06-30 14:52:56.998612","2016-06-30 14:53:22.981880",26,True,False,1,7,"EASY","[]",10,10
13,6,11,"2016-06-30 14:20:17.298669","2016-06-30 14:20:48.232645",31,True,False,1,7,"EASY","[]",6,6
48,6,33,"2016-06-30 15:28:50.255254","2016-06-30 15:30:13.859010",84,True,False,1,16,"EASY","[]",12,12
14,6,55,"2016-06-30 14:20:49.688225","2016-06-30 14:21:57.821067",68,True,False,1,7,"EASY","[4, 5, 6]",6,6
