"task_session_id","student_id","task_id","solved","given_up","start","end"
93760878-1c0b-4995-bf76-57de8ddfb653,fc8d7fa9-4736-4008-866b-e48de6fca66b,"one-step-forward",True,False,"2017-05-15 05:31:23.727123","2017-05-15 05:31:30.445010"
06e431c1-921c-46c7-9260-d1cd1c256e34,b3e36ff8-a288-4562-b124-895030910a93,"find-the-path",False,False,"2017-05-15 09:46:52.628007","2017-05-15 09:46:52.628007"
309b9c82-afa1-45ec-b254-abdd5f052e84,888caaca-eb63-4d23-bafd-e99c02bff242,"one-step-forward",False,False,"2017-05-24 08:03:36.659211","2017-05-24 08:04:03.719493"
595e3e48-1c3a-4f5a-bea2-eb5552a36174,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"turning-left",False,False,"2017-05-16 06:44:06.685264","2017-05-16 06:44:18.367982"
83ad4790-575d-4258-9aea-c66c37d06a14,2654f84e-8a6d-4a3d-a82d-b79d6fc814c5,"turning-left",False,False,"2017-05-22 01:36:50.605019","2017-05-22 01:37:49.646085"
2ab66f31-6fa4-42f6-849f-fc18547825bd,4440e77f-a12b-49e4-9959-548a052807ee,"wormhole-demo",True,False,"2017-05-21 08:09:14.972110","2017-05-21 08:10:01.339513"
34777abc-a0f2-452e-9381-a155972561f0,21ad608c-f4f7-4fe9-8a92-1b6957c992a7,"dont-forget-shot",True,False,"2017-05-22 08:39:45.041695","2017-05-22 08:50:00.239606"
9de48615-c0f2-4c37-8b2b-3b23a8e4efed,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"one-step-forward",True,False,"2017-05-22 14:26:30.808381","2017-05-22 14:26:38.687967"
6c68202c-108e-4b45-a5fa-c54453f7f9d8,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"diamond-on-right",False,False,"2017-05-15 15:48:05.729343","2017-05-15 15:49:15.705766"
72c2eaa3-0126-4d05-b810-0c18795a5df7,da2141d1-5069-4508-a37e-a0a71f2bcb18,"diamond-on-right",True,False,"2017-05-19 08:12:06.235403","2017-05-19 08:13:49.789471"
33d14b36-858f-4047-826b-5af23b9d8fb5,efa9a8f7-5756-473a-a02c-6dfa05dbd1db,"turning-left-and-right",False,False,"2017-05-24 09:24:40.838906","2017-05-24 09:24:40.838906"
fcbd8522-b614-4395-a63e-1f8a88d5daa2,247ae5ed-d0d6-4bf4-b906-534c300ad113,"turning-right",True,False,"2017-05-16 17:31:07.999907","2017-05-16 17:33:21.723975"
4fe216de-c8c8-426a-9040-8420422fd452,26589bc6-ec87-4b23-916e-606e5da913d7,"turning-left-and-right",True,False,"2017-05-16 04:22:01.867212","2017-05-16 04:22:22.778332"
3ae282c5-cf48-4a15-aa42-28879ca661fe,26589bc6-ec87-4b23-916e-606e5da913d7,"turning-left",False,False,"2017-05-16 04:22:26.643964","2017-05-16 04:22:33.021624"
23f33251-2c34-4763-9e14-69e8fac7fcc9,92e91c17-b991-44c8-9cbd-f5cdfbaaa071,"diamond-on-right",False,False,"2017-05-22 05:14:54.961664","2017-05-22 05:16:11.292111"
bd003ec6-5b45-4ce6-9024-5404f1cbbaa8,247ae5ed-d0d6-4bf4-b906-534c300ad113,"turning-right-and-left",True,False,"2017-05-16 17:33:28.262485","2017-05-16 17:34:00.686094"
cc4f2f73-8ac2-4393-8928-09902c312cd5,fc8d7fa9-4736-4008-866b-e48de6fca66b,"three-steps-forward",False,False,"2017-05-16 05:36:13.026077","2017-05-16 05:36:25.198227"
7d72c8f7-dd88-4bd0-bbf1-1bbab4cc8590,21ad608c-f4f7-4fe9-8a92-1b6957c992a7,"shot",True,False,"2017-05-22 08:50:20.144043","2017-05-22 08:50:51.908313"
bc34d01b-a703-4821-925d-32cbead84515,21ad608c-f4f7-4fe9-8a92-1b6957c992a7,"ladder",False,False,"2017-05-22 08:57:43.709328","2017-05-22 08:57:43.709328"
44c03b56-dcf2-4b8b-bcac-c79ad636d22b,b3e36ff8-a288-4562-b124-895030910a93,"find-the-path",False,False,"2017-05-22 11:09:00.981726","2017-05-22 11:09:00.981726"
78ba5c40-2d4d-459a-ba7e-04028906e4b1,247ae5ed-d0d6-4bf4-b906-534c300ad113,"turning-left-and-right",True,False,"2017-05-16 17:34:06.754736","2017-05-16 17:34:21.482722"
fd15a4d7-2c1b-441c-97c7-d825c292660a,d2ccc8f0-b13d-4b1a-9f3f-5321c25abce0,"three-steps-forward",True,False,"2017-05-19 12:20:19.470015","2017-05-19 12:20:56.823538"
7866afb9-d685-4fbd-864f-0feda6e7541d,50812d82-5a20-4031-88b6-e33092ba0785,"turning-left",True,False,"2017-05-16 06:39:28.075785","2017-05-16 06:41:07.971897"
baf65d57-90df-4249-b5dc-9ea323a555c8,50812d82-5a20-4031-88b6-e33092ba0785,"diamond-on-right",False,False,"2017-05-16 06:41:12.698652","2017-05-16 06:41:40.631331"
ebed0f9d-923f-48d1-a0c8-c944bda735c4,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"three-steps-forward",True,False,"2017-05-25 01:08:04.373701","2017-05-25 01:08:37.048237"
850c44b6-9a47-431c-93f6-09280f48fc01,c21aee8a-5c12-4848-9a64-621cb229acb4,"diamond-on-right",True,False,"2017-05-24 17:28:30.498269","2017-05-24 17:29:26.814340"
bf12f4b4-0f2d-4790-8716-d95002c19790,247ae5ed-d0d6-4bf4-b906-534c300ad113,"wormhole-demo",True,False,"2017-05-16 17:34:25.114562","2017-05-16 17:34:59.730080"
3d1b5c19-95bb-4aad-80b2-f1b3446a7924,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"turning-right-and-left",True,False,"2017-05-25 01:14:54.836547","2017-05-25 01:15:11.383381"
6cd21d7b-995e-4cf6-95d5-2aa3cfc0000b,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"wormhole-demo",True,False,"2017-05-22 14:26:41.754320","2017-05-22 14:27:07.554832"
eab967b3-3854-4a78-8836-42c0510186b8,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"diamond-on-right",True,False,"2017-05-16 06:41:56.904204","2017-05-16 06:43:45.508423"
e416c15b-feb3-4277-b37c-da0c203b37d3,d2ccc8f0-b13d-4b1a-9f3f-5321c25abce0,"turning-left-and-right",False,False,"2017-05-19 12:21:00.819951","2017-05-19 12:21:34.283966"
b6c4cdd3-779a-4f50-a1bc-65b69424bfaa,d2ccc8f0-b13d-4b1a-9f3f-5321c25abce0,"red-shooting",False,False,"2017-05-19 12:21:44.279642","2017-05-19 12:21:44.279642"
8957fa5d-53d3-4a22-a7dd-43e0fbac25f9,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"three-steps-forward",True,False,"2017-05-16 06:43:48.476068","2017-05-16 06:44:02.132439"
2fabffd0-f19d-4339-9a72-52631a044721,26589bc6-ec87-4b23-916e-606e5da913d7,"turning-right",False,False,"2017-05-19 14:25:19.470932","2017-05-19 14:51:44.984266"
18b05db6-8f0b-404e-b2f0-faa590c3928f,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"tunnel",True,False,"2017-05-25 01:15:43.286331","2017-05-25 01:16:57.844453"
