id,name,student,task,time,randomness,data
1,start-task,5,25.0,2017-11-10T10:25:08.495519Z,624099412,{'task_session_id': 1}
2,watch-instruction,5,,2017-11-10T10:25:10.011324Z,966484996,{'instruction': 'env.space-world'}
3,watch-instruction,5,,2017-11-10T10:25:11.426304Z,56990955,{'instruction': 'env.toolbox'}
4,watch-instruction,5,,2017-11-10T10:25:12.552043Z,195430763,{'instruction': 'env.snapping'}
5,watch-instruction,5,,2017-11-10T10:25:13.559298Z,434569504,{'instruction': 'env.controls'}
6,watch-instruction,5,,2017-11-10T10:25:14.776518Z,998461958,{'instruction': 'block.fly'}
7,edit-program,5,25.0,2017-11-10T10:25:16.912569Z,60715035,"{'task_session_id': 1, 'program': 'f'}"
8,edit-program,5,25.0,2017-11-10T10:25:17.968158Z,468825960,"{'task_session_id': 1, 'program': 'ff'}"
9,edit-program,5,25.0,2017-11-10T10:25:19.486259Z,763724753,"{'task_session_id': 1, 'program': 'fff'}"
10,run-program,5,25.0,2017-11-10T10:25:22.623018Z,27950521,"{'task_session_id': 1, 'program': 'fff', 'correct': True}"
11,watch-instruction,5,,2017-11-10T10:25:47.189608Z,990681048,{'instruction': 'env.task-editor'}
12,start-task,29,25.0,2017-11-10T12:19:38.317375Z,516860166,{'task_session_id': 2}
13,watch-instruction,29,,2017-11-10T12:19:39.987159Z,818146794,{'instruction': 'env.space-world'}
14,watch-instruction,29,,2017-11-10T12:19:41.660289Z,322660168,{'instruction': 'env.toolbox'}
15,watch-instruction,29,,2017-11-10T12:19:41.661289Z,491111973,{'instruction': 'env.snapping'}
16,watch-instruction,29,,2017-11-10T12:19:42.189411Z,968041327,{'instruction': 'env.controls'}
17,watch-instruction,29,,2017-11-10T12:19:42.191463Z,397435200,{'instruction': 'block.fly'}
18,edit-program,29,25.0,2017-11-10T12:19:45.022119Z,451334160,"{'task_session_id': 2, 'program': 'f'}"
19,edit-program,29,25.0,2017-11-10T12:19:46.464644Z,934185144,"{'task_session_id': 2, 'program': 'ff'}"
20,edit-program,29,25.0,2017-11-10T12:19:47.813794Z,558082958,"{'task_session_id': 2, 'program': 'fff'}"
21,run-program,29,25.0,2017-11-10T12:19:51.013686Z,14310698,"{'task_session_id': 2, 'program': 'fff', 'correct': True}"
22,start-task,29,51.0,2017-11-10T12:19:55.340211Z,885902530,{'task_session_id': 3}
23,edit-program,29,51.0,2017-11-10T12:19:58.351979Z,966585589,"{'task_session_id': 3, 'program': 'f'}"
24,run-program,29,51.0,2017-11-10T12:20:00.227626Z,88525987,"{'task_session_id': 3, 'program': 'f', 'correct': True}"
25,start-task,29,2.0,2017-11-10T12:20:05.156848Z,923186372,{'task_session_id': 4}
26,watch-instruction,29,,2017-11-10T12:20:09.039036Z,397238528,{'instruction': 'object.asteroid'}
27,watch-instruction,29,,2017-11-10T12:20:13.243878Z,40794885,{'instruction': 'object.meteoroid'}
28,edit-program,29,2.0,2017-11-10T12:20:16.992074Z,616442791,"{'task_session_id': 4, 'program': 'l'}"
29,edit-program,29,2.0,2017-11-10T12:20:18.935442Z,452711215,"{'task_session_id': 4, 'program': 'lf'}"
30,run-program,29,2.0,2017-11-10T12:20:21.495558Z,714956860,"{'task_session_id': 4, 'program': 'lf', 'correct': False}"
31,edit-program,29,2.0,2017-11-10T12:20:26.654715Z,921661857,"{'task_session_id': 4, 'program': 'lrf'}"
32,run-program,29,2.0,2017-11-10T12:20:29.850698Z,816247133,"{'task_session_id': 4, 'program': 'lrf', 'correct': True}"
33,start-task,29,12.0,2017-11-10T12:20:32.159033Z,523745848,{'task_session_id': 5}
34,watch-instruction,29,,2017-11-10T12:20:34.714707Z,256437327,{'instruction': 'object.wormhole'}
35,watch-instruction,29,,2017-11-10T12:20:36.912786Z,982244919,{'instruction': 'block.shoot'}
36,edit-program,29,12.0,2017-11-10T12:20:40.984673Z,265669154,"{'task_session_id': 5, 'program': 'r'}"
37,edit-program,29,12.0,2017-11-10T12:20:43.101797Z,581081358,"{'task_session_id': 5, 'program': 'rr'}"
38,edit-program,29,12.0,2017-11-10T12:20:44.852465Z,149446655,"{'task_session_id': 5, 'program': 'rrf'}"
39,edit-program,29,12.0,2017-11-10T12:20:47.252597Z,899330242,"{'task_session_id': 5, 'program': 'rrff'}"
40,run-program,29,12.0,2017-11-10T12:20:51.254466Z,826165061,"{'task_session_id': 5, 'program': 'rrff', 'correct': True}"
41,start-task,29,10.0,2017-11-10T12:20:54.082944Z,103259704,{'task_session_id': 6}
42,edit-program,29,10.0,2017-11-10T12:20:57.447120Z,948700458,"{'task_session_id': 6, 'program': 's'}"
43,edit-program,29,10.0,2017-11-10T12:20:59.735117Z,439613421,"{'task_session_id': 6, 'program': 'sf'}"
44,edit-program,29,10.0,2017-11-10T12:21:01.399832Z,650086530,"{'task_session_id': 6, 'program': 'sff'}"
45,run-program,29,10.0,2017-11-10T12:21:04.460785Z,85501536,"{'task_session_id': 6, 'program': 'sff', 'correct': True}"
46,start-task,29,14.0,2017-11-10T12:21:06.970707Z,131967918,{'task_session_id': 7}
47,watch-instruction,29,,2017-11-10T12:21:10.756717Z,380812383,{'instruction': 'object.diamond'}
48,watch-instruction,29,,2017-11-10T12:21:15.044225Z,509893454,{'instruction': 'diamonds-status'}
49,edit-program,29,14.0,2017-11-10T12:21:18.478178Z,322269973,"{'task_session_id': 7, 'program': 'f'}"
50,edit-program,29,14.0,2017-11-10T12:21:20.005551Z,1067124814,"{'task_session_id': 7, 'program': 'fr'}"
