id,student,task,solved,start,end,time_spent
39,917,26,False,2017-11-13T10:58:19.666306Z,2017-11-13T10:59:21.969801Z,62
28,584,41,True,2017-11-12T08:57:39.741460Z,2017-11-12T08:58:43.087657Z,63
13,29,8,True,2017-11-10T12:24:07.602156Z,2017-11-10T12:24:24.986604Z,17
1,5,25,True,2017-11-10T10:25:08.451949Z,2017-11-10T10:25:22.612931Z,14
14,29,38,False,2017-11-10T12:25:55.411733Z,2017-11-10T12:25:55.411745Z,0
15,381,51,False,2017-11-11T16:18:59.582032Z,2017-11-11T16:18:59.582047Z,0
2,29,25,True,2017-11-10T12:19:38.296521Z,2017-11-10T12:19:50.945672Z,12
3,29,51,True,2017-11-10T12:19:55.337206Z,2017-11-10T12:20:00.215662Z,4
29,584,51,True,2017-11-12T08:58:45.905092Z,2017-11-12T08:59:22.765583Z,36
16,584,2,True,2017-11-12T08:33:42.535936Z,2017-11-12T08:36:08.303324Z,145
4,29,2,True,2017-11-10T12:20:05.152265Z,2017-11-10T12:20:29.837257Z,24
21,584,13,True,2017-11-12T08:42:03.346800Z,2017-11-12T08:45:26.214120Z,202
5,29,12,True,2017-11-10T12:20:32.155447Z,2017-11-10T12:20:51.039123Z,18
40,917,25,False,2017-11-13T10:59:50.360227Z,2017-11-13T11:00:00.012339Z,9
41,951,51,False,2017-11-13T13:40:05.650619Z,2017-11-13T13:40:05.650637Z,0
6,29,10,True,2017-11-10T12:20:54.080259Z,2017-11-10T12:21:04.451684Z,10
91,1630,14,True,2017-11-15T17:23:21.335163Z,2017-11-15T17:24:08.196474Z,46
64,1219,21,False,2017-11-14T10:06:29.177736Z,2017-11-14T10:07:08.959953Z,39
30,584,37,True,2017-11-12T08:59:24.912358Z,2017-11-12T09:00:30.294896Z,65
7,29,14,True,2017-11-10T12:21:06.966330Z,2017-11-10T12:21:25.756629Z,18
22,584,23,True,2017-11-12T08:45:31.357977Z,2017-11-12T08:46:59.764837Z,88
17,584,31,True,2017-11-12T08:36:17.796933Z,2017-11-12T08:37:19.194043Z,61
8,29,11,True,2017-11-10T12:21:33.061485Z,2017-11-10T12:22:00.951332Z,27
56,1219,19,False,2017-11-14T09:58:47.761552Z,2017-11-14T09:59:17.118302Z,29
18,584,12,True,2017-11-12T08:37:31.844203Z,2017-11-12T08:38:19.445586Z,47
9,29,1,True,2017-11-10T12:22:14.768707Z,2017-11-10T12:22:38.488054Z,23
23,584,21,True,2017-11-12T08:47:03.994079Z,2017-11-12T08:48:20.630643Z,76
10,29,3,True,2017-11-10T12:22:42.455442Z,2017-11-10T12:23:02.627586Z,20
65,1219,38,False,2017-11-14T10:07:19.985688Z,2017-11-14T10:07:48.915879Z,28
57,1219,2,True,2017-11-14T09:59:44.029259Z,2017-11-14T10:00:07.562723Z,23
11,29,49,True,2017-11-10T12:23:06.409399Z,2017-11-10T12:23:20.981435Z,14
66,1219,17,False,2017-11-14T10:08:05.842945Z,2017-11-14T10:08:05.842956Z,0
24,584,3,True,2017-11-12T08:48:30.172061Z,2017-11-12T08:49:52.152552Z,81
19,584,8,True,2017-11-12T08:38:23.728383Z,2017-11-12T08:39:16.948483Z,53
31,584,60,True,2017-11-12T09:00:34.676681Z,2017-11-12T09:06:39.467203Z,364
25,584,53,True,2017-11-12T08:49:58.723520Z,2017-11-12T08:50:34.278733Z,35
12,29,17,True,2017-11-10T12:23:23.127216Z,2017-11-10T12:24:04.466627Z,41
58,1219,31,True,2017-11-14T10:00:11.569846Z,2017-11-14T10:00:32.551150Z,20
86,1362,26,False,2017-11-14T20:19:54.980334Z,2017-11-14T20:23:04.484123Z,189
67,1219,8,True,2017-11-14T10:08:14.812855Z,2017-11-14T10:08:39.347921Z,24
26,584,17,True,2017-11-12T08:50:37.636168Z,2017-11-12T08:53:19.574831Z,161
68,1219,1,False,2017-11-14T10:08:42.537883Z,2017-11-14T10:08:42.537898Z,0
69,1219,3,False,2017-11-14T10:09:42.543669Z,2017-11-14T10:09:42.543684Z,0
70,1219,32,False,2017-11-14T10:10:08.600367Z,2017-11-14T10:10:08.600381Z,0
20,584,6,True,2017-11-12T08:39:19.885045Z,2017-11-12T08:41:55.532404Z,155
71,1219,41,False,2017-11-14T10:11:55.325175Z,2017-11-14T10:11:55.325187Z,0
72,1219,62,False,2017-11-14T10:12:18.274266Z,2017-11-14T10:12:18.274280Z,0
59,1219,23,True,2017-11-14T10:00:35.241527Z,2017-11-14T10:01:49.379738Z,74
32,584,55,True,2017-11-12T09:06:42.290558Z,2017-11-12T09:16:01.536357Z,559
33,584,55,False,2017-11-12T21:09:11.761305Z,2017-11-12T21:09:11.761317Z,0
73,1219,9,False,2017-11-14T10:13:15.214849Z,2017-11-14T10:13:15.214863Z,0
82,1321,25,True,2017-11-14T17:18:00.384850Z,2017-11-14T17:19:20.385602Z,80
60,1219,10,True,2017-11-14T10:01:53.205451Z,2017-11-14T10:02:09.930190Z,16
27,584,50,True,2017-11-12T08:53:25.954833Z,2017-11-12T08:57:36.021998Z,250
42,971,31,True,2017-11-13T15:06:13.983979Z,2017-11-13T15:08:47.903867Z,153
43,971,2,False,2017-11-13T15:08:53.835393Z,2017-11-13T15:08:53.835405Z,0
97,1661,51,True,2017-11-15T19:42:56.195848Z,2017-11-15T19:43:37.525624Z,41
83,1321,51,True,2017-11-14T17:19:26.790269Z,2017-11-14T17:19:35.632520Z,8
77,1282,12,True,2017-11-14T14:27:46.046868Z,2017-11-14T14:29:09.574436Z,83
44,1003,51,False,2017-11-13T17:21:43.933724Z,2017-11-13T17:22:11.098942Z,27
45,1020,31,False,2017-11-13T18:36:00.568450Z,2017-11-13T18:36:00.568462Z,0
34,769,31,True,2017-11-12T23:27:20.552363Z,2017-11-12T23:29:15.254793Z,114
61,1219,12,True,2017-11-14T10:02:33.954263Z,2017-11-14T10:02:57.127982Z,23
62,1219,57,False,2017-11-14T10:03:00.331632Z,2017-11-14T10:03:00.331644Z,0
35,769,49,True,2017-11-12T23:29:22.225442Z,2017-11-12T23:29:46.450458Z,24
36,769,2,False,2017-11-12T23:29:51.055048Z,2017-11-12T23:29:51.055059Z,0
37,769,11,False,2017-11-12T23:30:26.479475Z,2017-11-12T23:30:26.479487Z,0
38,909,26,False,2017-11-13T10:27:27.617132Z,2017-11-13T10:27:44.045912Z,16
46,1027,2,False,2017-11-13T19:06:30.751675Z,2017-11-13T19:08:30.576655Z,119
47,1027,10,False,2017-11-13T19:08:34.178771Z,2017-11-13T19:08:34.178781Z,0
48,1181,31,False,2017-11-14T07:38:25.227101Z,2017-11-14T07:38:25.227115Z,0
49,1181,46,False,2017-11-14T07:38:29.411142Z,2017-11-14T07:38:29.411152Z,0
74,1282,25,True,2017-11-14T14:23:01.851384Z,2017-11-14T14:24:26.978222Z,85
87,1362,25,False,2017-11-14T20:24:01.801223Z,2017-11-14T20:25:23.561268Z,81
75,1282,51,True,2017-11-14T14:24:31.121073Z,2017-11-14T14:24:40.650103Z,9
108,1882,4,False,2017-11-16T13:17:58.960947Z,2017-11-16T13:19:52.362383Z,113
92,1630,10,True,2017-11-15T17:24:12.231498Z,2017-11-15T17:24:35.509811Z,23
50,1181,17,False,2017-11-14T07:42:22.896993Z,2017-11-14T07:43:18.257495Z,55
51,1181,29,False,2017-11-14T07:43:41.699860Z,2017-11-14T07:43:41.699873Z,0
52,1181,43,False,2017-11-14T07:43:58.052877Z,2017-11-14T07:43:58.052888Z,0
