Login,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,696,697,698,699,700,701,702,703,704,705,706,1119,1120,1121,1122,1123,1124,1125,1401,1402,1403,1404,1405,1406,1407,1704,1705,1706,1707
 U1,,,,, 4,, 0, 0, 125,, 0,, 0,, 0,,,,, 0,,, 0, 175, 5,,,,, 12, 12, 0,,, 0, 14,,, 0,,, 0, 0,,,,,, 0,,,, 9, 7,, 0, 0,,,,,, 0,,,,,,,, 0,,,,, 0,,
 U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 609,,,,,,, 945,,,,,,,,, 43,,,,,,, 0,,,,, 0,, 296,,,,,,,,, 11, 192, 7, 0, 0,,,,,
 U4,,,,,,,,,,,,,,, 93,,,,,,,,, 22,,,,,,,,,,,,,,,, 298,, 97,,,,,,,,,,,,,,,,,, 18,,,,,,,,,,,,,,,,,,
 U5,,,,,,,,,,,,, 144,,,,,,,,,,,,,,,,,, 91,,,,,,,, 646,,,,,, 20,,,,,,,,,,,,,,,,,,, 93,,,,,,, 0,,,,,,,
 U6,,,,,,,,, 0, 273,,,,, 57,,,,,,,,,,,,,,,,,,,,,,,, 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8,,,,,,,,,,,,, 611, 487,, 66, 38,,,, 129,,,, 366,, 241,,,, 231,,, 60,,,,,,,,,, 95, 1178,,,,,,,,,, 368,,,,, 23,,,,, 189,,,,,, 218,,,,,,,
 U9,,,,,,,,,,,, 794, 454, 232,,,, 637, 368,, 240,,,,,, 469, 233, 494,, 267,, 172,, 386,,, 563,, 103, 318,,, 263,, 126,, 270,,,,,, 244,, 76,,,,,,, 130,, 20,,,,,,,,,,,,,
 U10,,,,,,,,,,,,,,,,,,,, 166,,,,,,,,,,,,,,, 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U16,,,,,,,,,,,,,,, 0,,,,,,,,,,,,,,,,, 0,,,,,,,, 0,,, 171,,,,,,,,,,,,,,,,,, 12,,,,,,,,,,,,,,,,,
 U19, 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U20,,,,,,,, 541,,,, 260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 923,, 0,,,,,,,,,,,,,,,,,,,,,,,
 U21, 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U22,,,,,,,,,, 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 380,,,,,,,,,,,,,,,,,,,,,, 257,,,,,,,,,, 105,,,
 U25,,,,,,,, 21,,,, 66, 210,,,,,,,,,,, 228,,,,,,,,,, 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0,
 U27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 413,,,,,, 164,,,,, 809,,,,,,,,, 47,,,,,,,,,,,,,, 530,,,,,,,,,
