name;turning-left-and-right;tunnel;zig-zag;triple-slalom;diamonds-with-signals;wormhole-cloud;two-color-tracks;shooting;diamond-lines;n;beware-of-asteroid;shot;ladder;wormhole-demo;yellow-is-not-red;2diamonds-2meteorids;five-diamonds;steal-the-nose;dont-forget-shot;three-steps-forward;turning-right-and-left;on-yellow-to-left;slalom-position-testing;edge-wormholes;diamond-on-right;diamonds-in-meteoroid-cloud;six-diamonds;cross-2;big-slalom;direction-change;bouncing-from-edge;plan-your-shooting;yellow-hint;diamond-path;colorful-flowers;turning-left;chessboard;find-the-path;arrow;turning-right;double-bend;edge-to-edge;one-step-forward;diamond-cross;stairs;direct-flight-ahead;diagonal-diamonds;color-slalom;two-bit-instructions;two-diamonds;red-shooting;diamonds-on-yellow;diagonal-lines;clean-your-path;triple-steps;color-navigation;follow-colors;meteoroids-on-left;collect-diamonds;diamond-ring;maneuvers-on-left;zig-zag-plus;triangle;rectangle;wave;surrounded-diamond;plus;meteoroids-and-wormholes;letter-h;stripes;narrow-passage;big-right-turn;big-left-turn;four-vs;stop-on-red;turning-in-square;double-track;blocked-wormhole;letter-d;yellow-squares;free-column;last-shot;letter-e;belgian-flag;mirror;diamond-in-house;
turning-left-and-right;0.0;3.46410161514;1.73205080757;2.0;2.44948974278;1.41421356237;3.60555127546;2.44948974278;2.2360679775;3.31662479036;0.0;2.0;2.0;1.73205080757;3.0;3.74165738677;2.2360679775;1.73205080757;2.44948974278;2.44948974278;0.0;2.64575131106;2.44948974278;3.60555127546;1.73205080757;1.73205080757;2.44948974278;6.32455532034;3.16227766017;3.0;2.44948974278;2.64575131106;3.0;2.2360679775;4.24264068712;1.41421356237;2.2360679775;1.73205080757;5.0;1.41421356237;3.16227766017;3.87298334621;1.41421356237;2.0;3.0;2.0;3.74165738677;3.0;6.0827625303;2.64575131106;4.0;2.82842712475;6.7082039325;2.64575131106;3.60555127546;4.24264068712;5.09901951359;4.35889894354;3.31662479036;3.0;3.31662479036;4.35889894354;3.0;2.82842712475;3.16227766017;3.16227766017;1.73205080757;2.82842712475;3.16227766017;2.2360679775;2.44948974278;2.0;3.0;3.16227766017;3.46410161514;4.472135955;4.58257569496;2.64575131106;3.31662479036;3.0;2.64575131106;2.2360679775;2.44948974278;5.29150262213;7.21110255093;4.472135955;4.472135955
tunnel;3.46410161514;0.0;4.12310562562;3.74165738677;4.24264068712;4.0;4.12310562562;2.44948974278;4.35889894354;4.79583152331;3.46410161514;3.46410161514;3.74165738677;3.60555127546;4.35889894354;2.44948974278;4.12310562562;3.87298334621;2.44948974278;4.24264068712;3.46410161514;4.58257569496;4.24264068712;5.19615242271;3.60555127546;3.31662479036;4.472135955;6.92820323028;4.89897948557;4.79583152331;4.24264068712;4.12310562562;4.79583152331;3.31662479036;5.47722557505;3.74165738677;4.35889894354;3.31662479036;4.35889894354;3.74165738677;4.89897948557;5.38516480713;4.24264068712;4.0;4.35889894354;4.472135955;5.09901951359;4.58257569496;6.40312423743;4.58257569496;4.89897948557;4.69041575982;7.4161984871;3.60555127546;5.19615242271;5.47722557505;6.16441400297;4.58257569496;4.35889894354;4.58257569496;4.12310562562;5.38516480713;4.58257569496;4.0;4.472135955;3.74165738677;3.60555127546;4.0;3.74165738677;4.35889894354;4.472135955;4.0;4.58257569496;4.89897948557;4.472135955;5.47722557505;5.56776436283;4.12310562562;4.79583152331;4.35889894354;4.12310562562;2.64575131106;4.472135955;6.0;7.74596669241;5.65685424949;5.65685424949
zig-zag;1.73205080757;4.12310562562;0.0;2.2360679775;1.73205080757;2.2360679775;4.24264068712;3.31662479036;2.0;4.0;1.73205080757;3.0;2.64575131106;2.82842712475;2.44948974278;4.35889894354;2.44948974278;2.82842712475;3.0;3.60555127546;1.73205080757;2.0;1.73205080757;3.74165738677;2.82842712475;2.44948974278;1.73205080757;6.8556546004;3.31662479036;2.0;2.64575131106;3.16227766017;2.0;2.82842712475;3.60555127546;2.64575131106;2.0;2.0;5.47722557505;2.64575131106;3.31662479036;2.82842712475;2.2360679775;2.64575131106;4.0;1.73205080757;3.31662479036;2.0;5.65685424949;2.0;3.31662479036;1.73205080757;5.83095189485;3.16227766017;3.46410161514;3.60555127546;4.35889894354;4.89897948557;4.0;3.46410161514;3.74165738677;4.472135955;3.46410161514;3.60555127546;3.31662479036;3.60555127546;2.0;2.2360679775;3.0;2.82842712475;2.2360679775;2.64575131106;3.46410161514;3.31662479036;3.0;4.12310562562;5.29150262213;3.16227766017;2.82842712475;2.44948974278;2.44948974278;2.82842712475;2.2360679775;4.58257569496;6.7082039325;3.31662479036;3.31662479036
triple-slalom;2.0;3.74165738677;2.2360679775;0.0;2.0;2.0;2.64575131106;2.82842712475;2.2360679775;2.64575131106;2.0;2.44948974278;2.44948974278;2.2360679775;1.73205080757;4.0;1.0;1.73205080757;3.16227766017;2.44948974278;2.0;2.2360679775;2.82842712475;3.60555127546;2.2360679775;2.2360679775;2.82842712475;6.0;3.16227766017;2.2360679775;3.16227766017;2.64575131106;2.2360679775;3.0;3.74165738677;2.0;2.2360679775;2.64575131106;4.35889894354;2.0;3.16227766017;3.60555127546;2.44948974278;2.0;2.2360679775;2.0;3.46410161514;1.73205080757;5.38516480713;2.2360679775;3.46410161514;2.82842712475;6.2449979984;2.64575131106;3.31662479036;3.74165738677;4.472135955;3.60555127546;2.64575131106;2.64575131106;2.64575131106;4.12310562562;2.64575131106;2.44948974278;2.44948974278;3.74165738677;3.0;2.44948974278;3.16227766017;2.2360679775;2.44948974278;2.0;2.64575131106;3.16227766017;2.44948974278;4.0;3.60555127546;2.64575131106;3.0;2.64575131106;2.64575131106;3.0;2.44948974278;4.69041575982;6.78232998313;3.46410161514;3.46410161514
diamonds-with-signals;2.44948974278;4.24264068712;1.73205080757;2.0;0.0;2.82842712475;3.60555127546;3.46410161514;1.73205080757;4.12310562562;2.44948974278;3.16227766017;3.16227766017;3.0;1.73205080757;4.472135955;2.2360679775;3.0;3.46410161514;3.46410161514;2.44948974278;1.0;2.0;4.12310562562;3.0;3.0;2.0;6.16441400297;4.0;1.73205080757;3.16227766017;3.60555127546;1.73205080757;3.31662479036;2.44948974278;2.82842712475;1.73205080757;3.0;5.56776436283;2.82842712475;4.0;3.31662479036;2.82842712475;3.16227766017;3.87298334621;2.0;2.44948974278;1.73205080757;4.35889894354;1.0;2.0;1.41421356237;4.58257569496;3.60555127546;3.60555127546;2.44948974278;2.82842712475;5.0;4.12310562562;3.87298334621;3.0;5.0;3.87298334621;3.74165738677;3.46410161514;4.0;3.0;2.44948974278;2.82842712475;3.31662479036;2.0;3.16227766017;3.87298334621;4.0;2.44948974278;3.16227766017;5.19615242271;3.60555127546;1.73205080757;1.73205080757;2.2360679775;3.31662479036;2.0;3.16227766017;5.47722557505;2.82842712475;2.82842712475
wormhole-cloud;1.41421356237;4.0;2.2360679775;2.0;2.82842712475;0.0;3.60555127546;2.82842712475;2.64575131106;2.2360679775;1.41421356237;2.0;1.41421356237;2.64575131106;3.31662479036;4.0;1.73205080757;1.73205080757;3.16227766017;2.44948974278;1.41421356237;2.64575131106;2.82842712475;3.0;2.64575131106;1.73205080757;2.82842712475;6.16441400297;2.44948974278;3.0;2.44948974278;1.73205080757;3.31662479036;3.31662479036;4.472135955;1.41421356237;2.2360679775;1.73205080757;4.35889894354;2.0;2.44948974278;4.12310562562;1.41421356237;1.41421356237;2.64575131106;2.0;4.0;3.0;6.2449979984;2.64575131106;4.24264068712;3.16227766017;7.0;1.73205080757;3.0;4.472135955;5.29150262213;3.60555127546;2.64575131106;2.2360679775;3.31662479036;3.87298334621;2.2360679775;2.0;3.16227766017;3.74165738677;2.64575131106;3.16227766017;3.16227766017;1.73205080757;2.82842712475;1.41421356237;2.2360679775;2.44948974278;3.46410161514;4.472135955;3.60555127546;1.73205080757;3.60555127546;3.0;2.64575131106;3.31662479036;2.44948974278;5.65685424949;7.48331477355;4.472135955;4.472135955
two-color-tracks;3.60555127546;4.12310562562;4.24264068712;2.64575131106;3.60555127546;3.60555127546;0.0;4.12310562562;4.0;3.16227766017;3.60555127546;4.12310562562;4.12310562562;3.46410161514;3.74165738677;4.12310562562;3.16227766017;3.16227766017;3.60555127546;3.87298334621;3.60555127546;4.0;4.12310562562;3.74165738677;3.46410161514;3.74165738677;4.12310562562;5.38516480713;3.87298334621;4.472135955;3.60555127546;4.0;4.472135955;3.46410161514;4.12310562562;3.60555127546;4.0;4.0;3.74165738677;3.60555127546;3.87298334621;5.47722557505;4.35889894354;3.0;2.82842712475;4.35889894354;3.87298334621;3.74165738677;5.09901951359;4.0;4.58257569496;4.12310562562;6.32455532034;3.46410161514;3.46410161514;4.12310562562;5.0;3.16227766017;2.44948974278;3.16227766017;4.0;4.0;3.16227766017;3.60555127546;3.87298334621;3.87298334621;4.0;4.58257569496;4.79583152331;3.46410161514;3.87298334621;3.0;3.16227766017;3.87298334621;4.58257569496;4.12310562562;3.46410161514;4.0;3.74165738677;4.472135955;4.472135955;3.74165738677;3.87298334621;4.79583152331;6.2449979984;5.19615242271;5.19615242271
shooting;2.44948974278;2.44948974278;3.31662479036;2.82842712475;3.46410161514;2.82842712475;4.12310562562;0.0;3.0;3.87298334621;2.44948974278;1.41421356237;2.0;2.2360679775;3.60555127546;4.0;3.0;2.2360679775;3.46410161514;2.44948974278;2.44948974278;3.60555127546;4.0;4.58257569496;2.2360679775;1.73205080757;3.74165738677;6.48074069841;4.24264068712;3.87298334621;4.0;2.64575131106;3.60555127546;3.60555127546;4.89897948557;2.44948974278;3.31662479036;2.64575131106;5.0;2.0;4.24264068712;4.79583152331;2.44948974278;3.16227766017;3.0;2.82842712475;4.472135955;3.87298334621;6.0827625303;3.60555127546;4.0;4.0;7.4161984871;3.31662479036;4.58257569496;4.89897948557;5.65685424949;4.58257569496;4.12310562562;3.87298334621;2.64575131106;5.38516480713;3.87298334621;2.44948974278;3.74165738677;4.69041575982;3.60555127546;2.82842712475;2.44948974278;3.0;3.16227766017;3.16227766017;3.87298334621;4.24264068712;3.16227766017;5.29150262213;4.79583152331;2.64575131106;4.12310562562;3.0;2.64575131106;2.64575131106;3.46410161514;6.0;7.74596669241;5.29150262213;5.29150262213
diamond-lines;2.2360679775;4.35889894354;2.0;2.2360679775;1.73205080757;2.64575131106;4.0;3.0;0.0;4.0;2.2360679775;2.64575131106;2.64575131106;2.44948974278;2.44948974278;5.0;2.44948974278;2.44948974278;3.87298334621;3.0;2.2360679775;2.0;2.2360679775;3.74165738677;2.44948974278;2.44948974278;1.73205080757;5.38516480713;3.87298334621;2.44948974278;3.0;3.16227766017;2.0;3.46410161514;3.31662479036;2.64575131106;1.41421356237;2.82842712475;5.83095189485;2.2360679775;3.87298334621;2.82842712475;2.2360679775;3.0;3.46410161514;1.73205080757;2.64575131106;2.44948974278;5.09901951359;2.0;2.64575131106;2.2360679775;5.65685424949;3.74165738677;3.74165738677;3.31662479036;3.87298334621;5.09901951359;4.24264068712;3.74165738677;2.44948974278;5.09901951359;3.74165738677;3.31662479036;2.64575131106;4.58257569496;3.16227766017;1.73205080757;2.2360679775;2.82842712475;1.0;3.0;3.74165738677;3.87298334621;2.64575131106;3.31662479036;5.09901951359;3.16227766017;2.0;2.0;1.41421356237;3.16227766017;1.73205080757;4.35889894354;5.9160797831;3.87298334621;3.87298334621
n;3.31662479036;4.79583152331;4.0;2.64575131106;4.12310562562;2.2360679775;3.16227766017;3.87298334621;4.0;0.0;3.31662479036;3.31662479036;2.64575131106;3.74165738677;4.24264068712;4.79583152331;2.44948974278;2.44948974278;4.35889894354;3.31662479036;3.31662479036;4.0;4.35889894354;2.82842712475;3.74165738677;2.82842712475;4.35889894354;5.9160797831;2.2360679775;4.24264068712;3.60555127546;2.0;4.472135955;4.472135955;5.38516480713;3.0;3.74165738677;3.16227766017;3.16227766017;3.31662479036;2.2360679775;5.29150262213;3.31662479036;1.73205080757;2.0;3.60555127546;5.0;3.74165738677;6.78232998313;4.0;5.19615242271;4.58257569496;7.74596669241;2.0;2.82842712475;5.38516480713;6.0827625303;2.0;1.41421356237;1.41421356237;4.0;3.16227766017;1.41421356237;1.73205080757;3.60555127546;4.79583152331;4.24264068712;4.35889894354;4.35889894354;2.0;4.12310562562;1.73205080757;1.41421356237;2.2360679775;4.35889894354;5.0;1.41421356237;2.0;4.69041575982;4.24264068712;4.0;4.472135955;3.87298334621;6.40312423743;8.0622577483;5.38516480713;5.38516480713
