name;turning-left-and-right;tunnel;zig-zag;triple-slalom;diamonds-with-signals;wormhole-cloud;two-color-tracks;shooting;diamond-lines;n;beware-of-asteroid;shot;ladder;wormhole-demo;yellow-is-not-red;2diamonds-2meteorids;five-diamonds;steal-the-nose;dont-forget-shot;three-steps-forward;turning-right-and-left;on-yellow-to-left;slalom-position-testing;edge-wormholes;diamond-on-right;diamonds-in-meteoroid-cloud;six-diamonds;cross-2;big-slalom;direction-change;bouncing-from-edge;plan-your-shooting;yellow-hint;diamond-path;colorful-flowers;turning-left;chessboard;find-the-path;arrow;turning-right;double-bend;edge-to-edge;one-step-forward;diamond-cross;stairs;direct-flight-ahead;diagonal-diamonds;color-slalom;two-bit-instructions;two-diamonds;red-shooting;diamonds-on-yellow;diagonal-lines;clean-your-path;triple-steps;color-navigation;follow-colors;meteoroids-on-left;collect-diamonds;diamond-ring;maneuvers-on-left;zig-zag-plus;triangle;rectangle;wave;surrounded-diamond;plus;meteoroids-and-wormholes;letter-h;stripes;narrow-passage;big-right-turn;big-left-turn;four-vs;stop-on-red;turning-in-square;double-track;blocked-wormhole;letter-d;yellow-squares;free-column;last-shot;letter-e;belgian-flag;mirror;diamond-in-house;
turning-left-and-right;0.0;0.192649500611;0.127787890092;0.0989732838262;0.135686947555;0.139318651019;0.11030651851;0.23586651211;0.1674915107;0.203126443594;0.0;0.205937103564;0.242027960639;0.0593852721182;0.131569111703;0.132992303538;0.118983529155;0.112206444589;0.0849634748605;0.0909281657615;0.0;0.16048383577;0.140186654494;0.209598905237;0.0593852721182;0.181521541208;0.182120797785;0.227173102663;0.237648796641;0.174440072482;0.174564004292;0.252684868803;0.174963147976;0.0284703504335;0.201062505869;0.0569407008671;0.166945026563;0.176424304681;0.166742914709;0.059041757243;0.237648796641;0.22182968965;0.0909281657615;0.159195073156;0.143052203963;0.179649398283;0.197752436541;0.141226268143;0.205123475158;0.16048383577;0.182198726176;0.177802365156;0.187689360175;0.169455320817;0.197625528367;0.201062505869;0.188009305459;0.171579757595;0.150399257199;0.198993841445;0.155315162241;0.197997805343;0.198993841445;0.206716231587;0.178105373774;0.0410802293174;0.0454640828807;0.178672379097;0.224143708204;0.202552871026;0.185684331851;0.159195073156;0.198993841445;0.237648796641;0.178322458558;0.168707352487;0.204093914511;0.252684868803;0.166669464274;0.192106866591;0.197536398018;0.102968551782;0.18524188578;0.158150120145;0.186250857983;0.173786675374;0.173786675374
tunnel;0.192649500611;0.0;0.228178847366;0.211801040123;0.23077034445;0.2342547202;0.217769542508;0.053806888978;0.249551174398;0.275355387825;0.192649500611;0.0606187771743;0.139028149359;0.199776096272;0.228328949029;0.0743776850414;0.220719998476;0.218490233879;0.114353908719;0.207242188817;0.192649500611;0.24506870994;0.23463237392;0.27994720785;0.199776096272;0.114171493965;0.26036901425;0.292829290734;0.302810090166;0.254426708377;0.256656666361;0.206636204548;0.254626168405;0.196193490734;0.273223520158;0.198043136129;0.249347654776;0.110379710705;0.162848852472;0.198248108008;0.302810090166;0.289218169064;0.207242188817;0.246714456896;0.23494588416;0.256766029536;0.270796947655;0.233615210917;0.249777645592;0.24506870994;0.20677840964;0.25736689696;0.264294030426;0.165747606859;0.271098852024;0.273223520158;0.263765918269;0.206395285382;0.241086347185;0.273361082301;0.174651068478;0.273749835528;0.273361082301;0.18096127096;0.257601064238;0.198912095384;0.200990127152;0.186406574784;0.145303841684;0.275300602888;0.261814172723;0.246714456896;0.273361082301;0.302810090166;0.184759484533;0.250875107855;0.275775964509;0.206636204548;0.249222799166;0.183987803465;0.189649920048;0.104530857613;0.261633657375;0.244679327189;0.262686798944;0.254404521831;0.254404521831
zig-zag;0.127787890092;0.228178847366;0.0;0.0837316183863;0.0808798633592;0.18575050302;0.147989119629;0.265364297721;0.146024094936;0.235955297704;0.127787890092;0.240177824631;0.268910899251;0.141018796488;0.0340980621605;0.182021972104;0.0908708489226;0.167400239315;0.15126164221;0.158376093411;0.127787890092;0.0962118114557;0.127003104223;0.238956707031;0.141018796488;0.217319591217;0.170480100663;0.255433150594;0.265008026;0.0587006899422;0.210623323418;0.27784931388;0.0597295056169;0.13034000653;0.178735810608;0.140980725919;0.145606296088;0.21276035723;0.205174126873;0.141412191562;0.265008026;0.177238821556;0.158376093411;0.200048068988;0.188646339676;0.0733566997674;0.189703988653;0.0567423646544;0.191467842713;0.0962118114557;0.140248072069;0.138146259378;0.151589192332;0.207457921507;0.211784751306;0.178735810608;0.146651420864;0.209152856073;0.193526798539;0.232080397611;0.151047071763;0.230964424202;0.232080397611;0.238275240362;0.178404744443;0.133906266591;0.134737048713;0.137513105548;0.213738099933;0.23517100239;0.174505119748;0.200048068988;0.232080397611;0.265008026;0.102422004023;0.167371351693;0.236836638032;0.27784931388;0.152081778232;0.140455284303;0.177966760057;0.161559483417;0.174184213783;0.125598171465;0.179501892276;0.0564619487328;0.0564619487328
triple-slalom;0.0989732838262;0.211801040123;0.0837316183863;0.0;0.0996427826471;0.108913422291;0.0942142767675;0.247464007927;0.147017787405;0.157803416375;0.0989732838262;0.215629662675;0.218919903104;0.108356019085;0.0770262195995;0.162973376811;0.0266135885496;0.0883020646768;0.131802998738;0.112133659865;0.0989732838262;0.117637662429;0.13122586986;0.182945397646;0.108356019085;0.167308290837;0.171480627931;0.225309939279;0.193775593477;0.111898808067;0.178236981667;0.214205950603;0.112093079838;0.109128678291;0.18245722545;0.102138929922;0.146869719524;0.168316956886;0.141689941018;0.101968371397;0.193775593477;0.193351402942;0.112133659865;0.123522077921;0.106466358574;0.113683178355;0.187173949567;0.0551438093174;0.190379766076;0.117637662429;0.150433646861;0.151779927869;0.163742152326;0.145112266932;0.156143462879;0.18245722545;0.158582639043;0.136038884049;0.116130312425;0.156661774937;0.138961647142;0.159749537886;0.156661774937;0.17093988052;0.157044142938;0.11476555977;0.120861640011;0.147613628246;0.209835720964;0.158686423685;0.171698144311;0.123522077921;0.156661774937;0.193775593477;0.125435342888;0.151471807114;0.15790940652;0.214205950603;0.151442942101;0.153090097246;0.176546517287;0.14194717973;0.171567753861;0.135317459232;0.176794058557;0.113024310531;0.113024310531
diamonds-with-signals;0.135686947555;0.23077034445;0.0808798633592;0.0996427826471;0.0;0.187069707309;0.129600851497;0.264548013359;0.119672008005;0.235146151496;0.135686947555;0.236159448014;0.266568688732;0.143827021157;0.077191510942;0.186964148514;0.104717992181;0.166224903454;0.160031820306;0.150029956244;0.135686947555;0.0304838443678;0.108733101049;0.224244433907;0.143827021157;0.2175559827;0.154946003817;0.221324074752;0.267649378553;0.0978447886887;0.193409174742;0.275882238389;0.0980669056007;0.14210685041;0.14617823156;0.140383383868;0.119490058998;0.217196263607;0.207072530543;0.140259339175;0.267649378553;0.202799702427;0.150029956244;0.202559196088;0.186542155191;0.101518829707;0.161787134982;0.09090109297;0.157529898377;0.0304838443678;0.0793120822278;0.113250384223;0.0751956866069;0.209429137262;0.192314697079;0.14617823156;0.0687657508776;0.210426001624;0.195624462349;0.233676609339;0.127767236274;0.235057041084;0.233676609339;0.235348475498;0.194672466249;0.146319126376;0.15020944117;0.158788478667;0.197272656441;0.235389467153;0.156095239988;0.202559196088;0.233676609339;0.267649378553;0.120940813962;0.124193770569;0.235392570169;0.275882238389;0.1113306755;0.10260225641;0.154518065133;0.168624702642;0.155951804581;0.047502468272;0.128422210695;0.0985736852566;0.0985736852566
wormhole-cloud;0.139318651019;0.2342547202;0.18575050302;0.108913422291;0.187069707309;0.0;0.11030651851;0.270305025574;0.212110180497;0.0700952427145;0.139318651019;0.238484903361;0.197908684017;0.159400944395;0.183383921505;0.183848181874;0.108095865797;0.0731970419763;0.161003381535;0.150774300977;0.139318651019;0.20054929581;0.190358676593;0.148801736993;0.159400944395;0.160367049824;0.223051816047;0.231325884137;0.113729436866;0.211882744446;0.180385737347;0.165839180794;0.218058307945;0.150640669752;0.237149007923;0.133068410683;0.205756167345;0.154573788298;0.0981310098168;0.151312972412;0.113729436866;0.255983676672;0.150774300977;0.0461008958595;0.0593852721182;0.216191731595;0.234349198528;0.153496248945;0.239724289696;0.20054929581;0.22205759838;0.21953999342;0.227621228313;0.0964646009245;0.131400552958;0.237149007923;0.22618801832;0.0688361539719;0.0288130599122;0.0756564862059;0.19643766983;0.0810226381704;0.0756564862059;0.12863508415;0.191162697728;0.14279664578;0.154754752307;0.220245196788;0.254372483641;0.0915925899653;0.225970791809;0.0461008958595;0.0756564862059;0.113729436866;0.215090347837;0.190396939561;0.0728513342686;0.165839180794;0.209110227469;0.22664952393;0.231269511714;0.180234772409;0.2208608493;0.204349213772;0.225201762123;0.211345137261;0.211345137261
two-color-tracks;0.11030651851;0.217769542508;0.147989119629;0.0942142767675;0.129600851497;0.11030651851;0.0;0.253322980023;0.164283263978;0.155536193501;0.11030651851;0.223101198239;0.220497903718;0.120028083111;0.14568635993;0.170244749748;0.103678628353;0.0944094884359;0.139961329946;0.126557990912;0.11030651851;0.146752134237;0.14780066129;0.126926508623;0.120028083111;0.170247556353;0.139278201622;0.208321876171;0.188936478379;0.178945265125;0.115829400914;0.212900301908;0.179115407857;0.118413685997;0.134185337106;0.11542247241;0.164097743441;0.170023610989;0.142504911624;0.11542247241;0.188936478379;0.235140417324;0.126557990912;0.122296651488;0.109244572989;0.180832575421;0.135914209686;0.131769096517;0.137522681011;0.146752134237;0.162611384898;0.122620782275;0.164507808206;0.145878296554;0.0936870421419;0.134185337106;0.163721025439;0.135319265672;0.115812356465;0.153536368613;0.155995512925;0.155828854987;0.153536368613;0.171647649716;0.186161280403;0.123377422394;0.128233295221;0.192182973073;0.221834366812;0.156073169369;0.140392508415;0.122296651488;0.153536368613;0.188936478379;0.181951937683;0.148291858869;0.155865623515;0.212900301908;0.121578790316;0.176997600846;0.191624714493;0.14985238733;0.140179807007;0.141402427467;0.136985872272;0.179394525814;0.179394525814
shooting;0.23586651211;0.053806888978;0.265364297721;0.247464007927;0.264548013359;0.270305025574;0.253322980023;0.0;0.278243326224;0.303643578435;0.23586651211;0.0532995850298;0.138982878924;0.23358615631;0.261513262594;0.12486730777;0.255139473324;0.249284475404;0.16371918364;0.23637903619;0.23586651211;0.277214913133;0.271453538663;0.308612087024;0.23358615631;0.130844417848;0.291332572755;0.318489903048;0.330838204577;0.285521252111;0.290701422681;0.215723008224;0.282803899516;0.239971860586;0.30148635733;0.237885291645;0.281004783614;0.140002733544;0.192370961296;0.231038718592;0.330838204577;0.31704594366;0.23637903619;0.279526863329;0.26367010397;0.283719804122;0.299289021763;0.266719133328;0.274731132586;0.277214913133;0.230483311753;0.288652670206;0.294845686564;0.196931574262;0.300608663619;0.30148635733;0.292942641705;0.235357489038;0.275201252164;0.302787947342;0.198747852396;0.305436730881;0.302787947342;0.195965411667;0.287258059181;0.24717217544;0.248420895707;0.208990915228;0.153794799702;0.301348789368;0.289353299857;0.279526863329;0.302787947342;0.330838204577;0.20633137385;0.282640472908;0.303110359746;0.215723008224;0.280071945541;0.203813365602;0.208938910566;0.144638338495;0.291618916092;0.277292919269;0.2924238839;0.286795275846;0.286795275846
diamond-lines;0.1674915107;0.249551174398;0.146024094936;0.147017787405;0.119672008005;0.212110180497;0.164283263978;0.278243326224;0.0;0.253229825544;0.1674915107;0.251652364979;0.280582388076;0.166640448353;0.141127454405;0.213649689;0.153229652371;0.187025243441;0.189818599361;0.17307984548;0.1674915107;0.128521921749;0.0519720682878;0.199102497514;0.166640448353;0.234010290038;0.117850499268;0.127326942875;0.283899087597;0.160698161273;0.158522735397;0.289492859735;0.156610330476;0.172381000433;0.186968613788;0.172026640296;0.036015322081;0.237556195844;0.228603080047;0.163942414527;0.283899087597;0.122784067436;0.17307984548;0.223442924155;0.205509117884;0.159177122935;0.155502284108;0.149206840554;0.19416660666;0.128521921749;0.142811220205;0.164906562939;0.145029978545;0.232187872634;0.218559428701;0.186968613788;0.14129853329;0.230828016176;0.218122948175;0.251624290742;0.0870504675305;0.253989255328;0.251624290742;0.251066762138;0.114352604387;0.181184812928;0.182490386803;0.120898885569;0.167043342489;0.250675909258;0.114897049624;0.223442924155;0.251624290742;0.283899087597;0.169179557578;0.0606514961254;0.252856759652;0.289492859735;0.0970733310985;0.157961455194;0.0986460358126;0.191810118143;0.119606334205;0.129619575234;0.112976373906;0.16239890809;0.16239890809
n;0.203126443594;0.275355387825;0.235955297704;0.157803416375;0.235146151496;0.0700952427145;0.155536193501;0.303643578435;0.253229825544;0.0;0.203126443594;0.275698503814;0.203384219077;0.211052782376;0.231911183808;0.237815410436;0.153976282802;0.108579145986;0.220337851102;0.204615507012;0.203126443594;0.246399392795;0.240206336762;0.152448691737;0.211052782376;0.179302020787;0.26467102186;0.257710227735;0.0566696565502;0.255708697767;0.216200879274;0.145709526078;0.25823253385;0.211052782376;0.275889486313;0.198891597326;0.250655622559;0.179893627697;0.117745597439;0.205012759346;0.0566696565502;0.292712789661;0.204615507012;0.0506433734179;0.0756564862059;0.256658295569;0.273486569231;0.193294430871;0.277689773419;0.246399392795;0.261618410807;0.261718256683;0.268533165083;0.11924245168;0.13551661152;0.275889486313;0.266526502117;0.0719574510787;0.054289572993;0.0284703504335;0.240254810572;0.0482735669654;0.0284703504335;0.123922611867;0.225693084969;0.210194155734;0.217158291972;0.260081838241;0.289551336223;0.0460199374181;0.264947947011;0.0506433734179;0.0284703504335;0.0566696565502;0.255731252699;0.229631354516;0.00738021965537;0.145709526078;0.252342065487;0.265527065611;0.269481359138;0.230167795109;0.262827228278;0.249292555925;0.265910040127;0.256148555944;0.256148555944
