name;turning-left-and-right;tunnel;zig-zag;triple-slalom;diamonds-with-signals;wormhole-cloud;two-color-tracks;shooting;diamond-lines;n;beware-of-asteroid;shot;ladder;wormhole-demo;yellow-is-not-red;2diamonds-2meteorids;five-diamonds;steal-the-nose;dont-forget-shot;three-steps-forward;turning-right-and-left;on-yellow-to-left;slalom-position-testing;edge-wormholes;diamond-on-right;diamonds-in-meteoroid-cloud;six-diamonds;cross-2;big-slalom;direction-change;bouncing-from-edge;plan-your-shooting;yellow-hint;diamond-path;colorful-flowers;turning-left;chessboard;find-the-path;arrow;turning-right;double-bend;edge-to-edge;one-step-forward;diamond-cross;stairs;direct-flight-ahead;diagonal-diamonds;color-slalom;two-bit-instructions;two-diamonds;red-shooting;diamonds-on-yellow;diagonal-lines;clean-your-path;triple-steps;color-navigation;follow-colors;meteoroids-on-left;collect-diamonds;diamond-ring;maneuvers-on-left;zig-zag-plus;triangle;rectangle;wave;surrounded-diamond;plus;meteoroids-and-wormholes;letter-h;stripes;narrow-passage;big-right-turn;big-left-turn;four-vs;stop-on-red;turning-in-square;double-track;blocked-wormhole;letter-d;yellow-squares;free-column;last-shot;letter-e;belgian-flag;mirror;diamond-in-house
turning-left-and-right;0;6;6;11;11;5;19;4;12;13;2;2;5;2;10;6;10;5;4;2;2;10;12;22;2;5;15;39;13;11;14;9;9;4;20;1;11;5;21;2;12;18;2;8;10;5;22;15;28;10;14;12;23;10;20;20;19;19;14;12;15;18;13;10;18;5;3;12;13;8;14;9;13;13;12;27;18;9;20;10;13;3;15;20;37;15
tunnel;6;0;8;10;11;7;19;5;12;13;7;7;8;5;9;5;10;7;5;7;7;11;13;22;5;6;15;38;13;12;14;10;9;5;19;6;11;7;18;6;13;18;8;9;10;8;21;15;27;11;13;13;21;10;20;20;19;17;15;12;14;17;12;9;17;5;6;11;12;9;14;10;13;13;11;27;17;8;20;10;12;4;15;19;37;15
zig-zag;6;8;0;7;5;5;18;7;8;13;5;7;5;6;9;8;8;5;6;7;5;5;8;19;6;6;9;36;10;7;13;8;7;6;15;7;8;6;20;6;11;12;7;9;9;2;17;11;25;5;10;8;18;10;18;16;13;18;14;12;11;16;12;9;15;7;5;8;9;8;10;8;13;10;9;23;17;9;14;6;9;6;10;15;33;12
triple-slalom;11;10;7;0;8;8;14;11;11;10;11;11;10;10;7;11;2;9;10;11;11;9;11;17;10;8;12;32;10;10;11;8;9;11;15;10;11;8;17;10;10;14;12;8;10;8;17;8;25;9;12;11;20;10;15;17;16;13;11;10;13;15;10;7;12;11;11;9;10;7;11;9;11;10;11;24;12;8;16;10;10;11;13;16;32;13
diamonds-with-signals;11;11;5;8;0;9;13;11;7;11;9;11;9;11;9;11;8;8;10;11;9;1;6;18;11;9;7;32;10;7;12;9;9;10;13;11;6;9;18;11;10;10;11;9;9;6;14;11;20;1;7;6;15;10;16;11;8;16;12;11;7;16;12;10;14;11;10;7;7;8;8;9;12;10;8;18;15;10;9;2;8;11;8;10;30;12
wormhole-cloud;5;7;5;8;9;0;17;5;10;10;5;5;3;5;10;8;7;5;6;5;5;8;11;19;5;4;13;36;9;10;12;6;8;5;18;4;9;3;19;5;9;16;5;7;8;4;20;12;27;8;13;11;22;7;18;19;17;16;13;10;12;15;10;7;14;5;5;11;11;6;13;7;10;10;10;26;14;6;18;9;10;5;13;19;36;13
two-color-tracks;19;19;18;14;13;17;0;20;17;15;19;20;17;19;16;18;14;15;18;19;19;14;16;14;19;16;14;28;12;17;12;15;17;18;15;20;17;17;16;20;11;18;21;14;14;19;16;12;18;14;14;11;17;16;13;12;13;12;16;12;16;14;15;15;14;19;19;18;17;15;15;16;15;13;18;19;11;17;11;15;17;19;15;14;28;17
shooting;4;5;7;11;11;5;20;0;12;13;4;2;5;3;12;6;11;6;5;3;4;10;14;22;3;5;15;38;13;11;16;8;9;5;20;3;12;6;22;2;14;18;4;10;10;5;22;15;28;10;13;14;24;10;22;21;19;20;15;14;13;19;13;8;17;5;4;12;11;8;14;9;14;13;10;28;18;8;20;9;12;3;15;21;38;16
diamond-lines;12;12;8;11;7;10;17;12;0;11;11;12;10;12;10;12;10;11;12;12;11;6;4;17;12;11;6;32;10;9;9;7;9;12;13;12;3;9;18;12;11;11;12;10;10;7;15;12;22;6;8;7;16;11;16;13;12;18;13;12;6;15;12;9;14;12;13;6;4;8;7;11;9;10;9;17;15;9;11;6;4;12;5;13;30;12
n;13;13;13;10;11;10;15;13;11;0;13;13;10;13;11;12;9;10;13;13;13;10;12;15;13;10;11;30;7;11;10;8;10;13;15;13;12;10;13;13;6;14;14;7;7;12;16;12;24;10;12;11;19;9;12;15;13;12;6;8;13;8;3;8;13;13;14;11;12;9;11;8;5;6;10;20;10;7;15;11;12;13;12;14;31;11
