name;turning-left-and-right;tunnel;zig-zag;triple-slalom;diamonds-with-signals;wormhole-cloud;two-color-tracks;shooting;diamond-lines;n;beware-of-asteroid;shot;ladder;wormhole-demo;yellow-is-not-red;2diamonds-2meteorids;five-diamonds;steal-the-nose;dont-forget-shot;three-steps-forward;turning-right-and-left;on-yellow-to-left;slalom-position-testing;edge-wormholes;diamond-on-right;diamonds-in-meteoroid-cloud;six-diamonds;cross-2;big-slalom;direction-change;bouncing-from-edge;plan-your-shooting;yellow-hint;diamond-path;colorful-flowers;turning-left;chessboard;find-the-path;arrow;turning-right;double-bend;edge-to-edge;one-step-forward;diamond-cross;stairs;direct-flight-ahead;diagonal-diamonds;color-slalom;two-bit-instructions;two-diamonds;red-shooting;diamonds-on-yellow;diagonal-lines;clean-your-path;triple-steps;color-navigation;follow-colors;meteoroids-on-left;collect-diamonds;diamond-ring;maneuvers-on-left;zig-zag-plus;triangle;rectangle;wave;surrounded-diamond;plus;meteoroids-and-wormholes;letter-h;stripes;narrow-passage;big-right-turn;big-left-turn;four-vs;stop-on-red;turning-in-square;double-track;blocked-wormhole;letter-d;yellow-squares;free-column;last-shot;letter-e;belgian-flag;mirror;diamond-in-house;
turning-left-and-right;0;6;7;12;14;5;19;4;13;13;2;2;6;2;13;6;11;5;4;2;2;13;14;20;2;5;14;35;13;13;12;9;12;4;21;1;12;6;21;2;13;19;2;8;10;6;21;17;29;13;19;14;33;11;20;22;26;19;14;12;15;18;13;10;18;5;3;13;14;8;13;9;13;13;14;31;18;9;21;13;13;3;14;28;40;19;19
tunnel;6;0;11;12;15;10;19;5;14;16;7;7;11;5;13;5;12;10;5;7;7;15;15;21;5;9;16;34;17;15;14;14;14;5;21;6;13;9;18;6;16;19;8;12;13;11;22;18;29;15;19;16;31;13;22;23;26;17;16;15;14;19;15;13;19;5;6;13;13;13;15;13;17;17;14;31;19;13;22;15;13;4;15;28;40;20;20
zig-zag;7;11;0;7;7;6;18;8;8;15;6;8;6;8;11;11;8;7;8;8;6;7;8;19;8;7;7;34;12;8;12;10;9;8;15;8;8;7;24;8;13;12;8;11;12;2;15;14;25;7;14;8;26;11;16;16;19;20;17;14;10;20;15;11;17;9;7;8;9;9;8;11;15;12;10;25;19;11;14;8;8;8;8;21;35;15;15
triple-slalom;12;12;7;0;10;9;15;13;12;15;12;13;11;11;10;13;2;10;11;12;12;11;12;18;11;9;13;31;12;12;10;9;13;13;18;11;13;9;23;11;12;16;13;12;14;9;17;10;27;11;16;12;28;14;15;20;23;17;16;11;14;20;15;8;14;12;12;10;11;9;12;13;16;12;13;28;14;13;18;12;10;12;14;23;35;18;18
diamonds-with-signals;14;15;7;10;0;13;14;14;6;17;12;14;12;14;12;14;10;12;15;14;12;1;6;18;14;13;7;31;14;9;11;12;12;13;12;14;5;12;26;14;14;12;14;14;15;8;10;14;19;1;10;4;22;13;16;10;14;22;19;15;6;23;18;13;17;14;14;8;6;11;7;13;17;14;11;18;19;14;9;2;7;14;7;14;30;16;16
wormhole-cloud;5;10;6;9;13;0;17;7;11;12;6;5;3;6;14;10;8;5;8;5;6;12;12;18;6;4;13;33;10;12;10;6;12;8;19;5;10;3;20;5;9;18;5;8;8;5;19;15;28;12;18;12;31;9;17;20;24;16;14;11;12;17;12;7;14;8;6;12;12;6;12;8;12;11;13;29;14;7;20;12;11;7;12;26;39;19;19
two-color-tracks;19;19;18;15;14;17;0;20;19;20;19;20;17;19;19;18;14;15;19;19;19;14;19;18;19;16;16;32;16;20;12;16;19;18;18;20;18;17;24;20;15;22;21;17;18;19;18;16;22;14;21;13;29;19;19;15;22;19;21;16;19;22;21;17;18;20;19;20;19;15;17;18;20;17;21;26;15;19;12;15;20;19;16;24;36;23;23
shooting;4;5;8;13;14;7;20;0;13;13;4;2;6;3;15;6;12;6;5;3;4;13;15;21;3;6;15;34;14;13;14;10;12;5;21;3;13;7;22;2;14;19;4;10;10;7;22;17;29;13;18;15;33;11;21;22;26;20;15;14;13;19;13;9;17;5;4;13;12;10;14;10;15;14;12;31;18;9;21;13;12;3;14;28;41;20;20
diamond-lines;13;14;8;12;6;11;19;13;0;17;13;13;11;13;14;14;11;12;13;13;13;5;4;17;13;12;5;30;13;12;10;8;12;13;14;13;3;11;25;13;13;11;13;14;14;7;13;16;22;5;11;6;23;15;17;13;15;21;18;14;6;21;18;10;17;13;14;6;4;10;6;15;15;13;12;19;18;13;12;5;4;13;4;17;32;18;18
n;13;16;15;15;17;12;20;13;17;0;13;13;11;14;14;15;14;10;14;13;13;16;17;15;14;11;18;27;9;13;16;12;14;14;22;13;16;12;13;13;8;18;14;7;8;14;22;17;27;16;19;18;29;10;13;22;20;13;6;10;18;8;3;12;17;14;14;17;18;11;18;8;5;8;13;25;13;7;21;17;17;13;19;21;34;15;15
